variableName;function;nameSpace;dataType;initialValue;address
O_20_On;On Button;Master[20];Boolean;false;root/stations/020-Master/$Inputs/...
O_20_Off;Off Button;Master[20];Boolean;false;root/stations/020-Master/$Inputs/...
O_20_Controler_On;Conveyor Controler On;Master[20];Boolean;false;root/stations/020-Master/$Inputs/...
I_20_Led_On;On LED;Master[20];Boolean;false;root/stations/020-Master/$Outputs/...
I_20_Led_Off;Off LED;Master[20];Boolean;false;root/stations/020-Master/$Outputs/...
I_20_Conveyor;Conveyor On;Master[20];Boolean;false;root/stations/020-Master/$Outputs/...
F_22_Led_On;On LED;Master[20];Boolean;false;root/stations/020-Master/$Feedback/...
F_22_Led_Off;Off LED;Master[20];Boolean;false;root/stations/020-Master/$Feedback/...
F_22_Conveyor;Conveyor On;Master[20];Boolean;false;root/stations/020-Master/$Feedback/...
C_25_Production;Produce 1 part;Master[20];Boolean;false;root/stations/020-Master/$Control/...
SO_20_On;On Button;Master[20];Boolean;false;root/stations/020-Master/$Simulated/...
SO_20_Off;Off Button;Master[20];Boolean;false;root/stations/020-Master/$Simulated/...
SO_20_Controler_On;Conveyor Controler On;Master[20];Boolean;false;root/stations/020-Master/$Simulated/...
SI_20_Led_On;On LED;Master[20];Boolean;false;root/stations/020-Master/$Simulated/...
SI_20_Led_Off;Off LED;Master[20];Boolean;false;root/stations/020-Master/$Simulated/...
SI_20_Conveyor;Conveyor On;Master[20];Boolean;false;root/stations/020-Master/$Simulated/...
O_34_Cart_Stat;Cart in station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Test/$Inputs/...
O_34_Cart_Next;Cart near next station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Test/$Inputs/...
O_34_Optic;Optic sensor on station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Test/$Inputs/...
O_34_Count;Cart count identifier;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Test/$Inputs/...
O_34_Pist_Bck;Piston in back position;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Test/$Inputs/...
I_34_Cart_Test;Release cart;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Test/$Outputs/...
F_34_Release_FB;Release cart feedback;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Test/$Feedback/...
C_34_Request;Request cart;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Test/$Control/...
SO_34_Cart_Stat;Cart in station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Test/$Simulated/...
SO_34_Cart_Next;Cart near next station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Test/$Simulated/...
SO_34_Optic;Optic sensor on station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Test/$Simulated/...
SO_34_Count;Cart count identifier;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Test/$Simulated/...
SO_34_Pist_Bck;Piston in back position;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Test/$Simulated/...
SI_34_Cart_Test;Release cart - Testing;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Test/$Simulated/...
O_35_Cart_Stat;Cart in station;AS-IConveyorProc[30];Boolean;false;root/stations/030-Conveyor/Processing/$Inputs/...
O_35_Cart_Next;Cart near next station;AS-IConveyorProc[30];Boolean;false;root/stations/030-Conveyor/Processing/$Inputs/...
O_35_Optic;Optic sensor on station;AS-IConveyorProc[30];Boolean;false;root/stations/030-Conveyor/Processing/$Inputs/...
O_35_Count;Cart count identifier;AS-IConveyorProc[30];Boolean;false;root/stations/030-Conveyor/Processing/$Inputs/...
O_35_Pist_Bck;Piston in back position;AS-IConveyorProc[30];Boolean;false;root/stations/030-Conveyor/Processing/$Inputs/...
I_35_Cart_Proc;Release cart;AS-IConveyorProc[30];Boolean;false;root/stations/030-Conveyor/Processing/$Outputs/...
F_35_Release_FB;Release cart feedback;AS-IConveyorProc[30];Boolean;false;root/stations/030-Conveyor/Processing/$Feedback/...
C_35_Request;Request cart;AS-IConveyorProc[30];Boolean;false;root/stations/030-Conveyor/Processing/$Control/...
SO_35_Cart_Stat;Cart in station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Processing/$Simulated/...
SO_35_Cart_Next;Cart near next station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Processing/$Simulated/...
SO_35_Optic;Optic sensor on station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Processing/$Simulated/...
SO_35_Count;Cart count identifier;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Processing/$Simulated/...
SO_35_Pist_Bck;Piston in back position;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Processing/$Simulated/...
SI_35_Cart_Proc;Release cart - Processing;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Processing/$Simulated/...
O_36_Cart_Stat;Cart in station;AS-IConveyorVisi[30];Boolean;false;root/stations/030-Conveyor/Vision/$Inputs/...
O_36_Cart_Next;Cart near next station;AS-IConveyorVisi[30];Boolean;false;root/stations/030-Conveyor/Vision/$Inputs/...
O_36_Optic;Optic sensor on station;AS-IConveyorVisi[30];Boolean;false;root/stations/030-Conveyor/Vision/$Inputs/...
O_36_Count;Cart count identifier;AS-IConveyorVisi[30];Boolean;false;root/stations/030-Conveyor/Vision/$Inputs/...
O_36_Pist_Bck;Piston in back position;AS-IConveyorVisi[30];Boolean;false;root/stations/030-Conveyor/Vision/$Inputs/...
I_36_Cart_Vision;Release cart;AS-IConveyorVisi[30];Boolean;false;root/stations/030-Conveyor/Vision/$Outputs/...
F_36_Release_FB;Release cart feedback;AS-IConveyorVisi[30];Boolean;false;root/stations/030-Conveyor/Vision/$Feedback/...
C_36_Request;Request cart;AS-IConveyorVisi[30];Boolean;false;root/stations/030-Conveyor/Vision/$Control/...
SO_36_Cart_Stat;Cart in station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Vision/$Simulated/...
SO_36_Cart_Next;Cart near next station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Vision/$Simulated/...
SO_36_Optic;Optic sensor on station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Vision/$Simulated/...
SO_36_Count;Cart count identifier;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Vision/$Simulated/...
SO_36_Pist_Bck;Piston in back position;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Vision/$Simulated/...
SI_36_Cart_Test;Release cart - Testing;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Vision/$Simulated/...
O_37_Cart_Stat;Cart in station;AS-IConveyorRobo[30];Boolean;false;root/stations/030-Conveyor/Robot/$Inputs/...
O_37_Cart_Next;Cart near next station;AS-IConveyorRobo[30];Boolean;false;root/stations/030-Conveyor/Robot/$Inputs/...
O_37_Optic;Optic sensor on station;AS-IConveyorRobo[30];Boolean;false;root/stations/030-Conveyor/Robot/$Inputs/...
O_37_Count;Cart count identifier;AS-IConveyorRobo[30];Boolean;false;root/stations/030-Conveyor/Robot/$Inputs/...
O_37_Pist_Bck;Piston in back position;AS-IConveyorRobo[30];Boolean;false;root/stations/030-Conveyor/Robot/$Inputs/...
I_37_Cart_Robot;Release cart;AS-IConveyorRobo[30];Boolean;false;root/stations/030-Conveyor/Robot/$Outputs/...
F_37_Release_FB;Release cart feedback;AS-IConveyorRobo[30];Boolean;false;root/stations/030-Conveyor/Robot/$Feedback/...
C_37_Request;Request cart;AS-IConveyorRobo[30];Boolean;false;root/stations/030-Conveyor/Robot/$Control/...
SO_37_Cart_Stat;Cart in station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Robot/$Simulated/...
SO_37_Cart_Next;Cart near next station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Robot/$Simulated/...
SO_37_Optic;Optic sensor on station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Robot/$Simulated/...
SO_37_Count;Cart count identifier;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Robot/$Simulated/...
SO_37_Pist_Bck;Piston in back position;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Robot/$Simulated/...
SI_37_Cart_Test;Release cart - Testing;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Robot/$Simulated/...
O_38_Cart_Stat;Cart in station;AS-IConveyorStor[30];Boolean;false;root/stations/030-Conveyor/Storage/$Inputs/...
O_38_Cart_Next;Cart near next station;AS-IConveyorStor[30];Boolean;false;root/stations/030-Conveyor/Storage/$Inputs/...
O_38_Optic;Optic sensor on station;AS-IConveyorStor[30];Boolean;false;root/stations/030-Conveyor/Storage/$Inputs/...
O_38_Count;Cart count identifier;AS-IConveyorStor[30];Boolean;false;root/stations/030-Conveyor/Storage/$Inputs/...
O_38_Pist_Bck;Piston in back position;AS-IConveyorStor[30];Boolean;false;root/stations/030-Conveyor/Storage/$Inputs/...
I_38_Cart_Storage;Release cart;AS-IConveyorStor[30];Boolean;false;root/stations/030-Conveyor/Storage/$Outputs/...
F_38_Release_FB;Release cart feedback;AS-IConveyorStor[30];Boolean;false;root/stations/030-Conveyor/Storage/$Feedback/...
C_38_Request;Request cart;AS-IConveyorStor[30];Boolean;false;root/stations/030-Conveyor/Storage/$Control/...
SO_38_Cart_Stat;Cart in station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Storage/$Simulated/...
SO_38_Cart_Next;Cart near next station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Storage/$Simulated/...
SO_38_Optic;Optic sensor on station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Storage/$Simulated/...
SO_38_Count;Cart count identifier;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Storage/$Simulated/...
SO_38_Pist_Bck;Piston in back position;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Storage/$Simulated/...
SI_38_Cart_Test;Release cart - Testing;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Storage/$Simulated/...
O_39_Cart_Stat;Cart in station;AS-IConveyorSort[30];Boolean;false;root/stations/030-Conveyor/Sorting/$Inputs/...
O_39_Cart_Next;Cart near next station;AS-IConveyorSort[30];Boolean;false;root/stations/030-Conveyor/Sorting/$Inputs/...
O_39_Optic;Optic sensor on station;AS-IConveyorSort[30];Boolean;false;root/stations/030-Conveyor/Sorting/$Inputs/...
O_39_Count;Cart count identifier;AS-IConveyorSort[30];Boolean;false;root/stations/030-Conveyor/Sorting/$Inputs/...
O_39_Pist_Bck;Piston in back position;AS-IConveyorSort[30];Boolean;false;root/stations/030-Conveyor/Sorting/$Inputs/...
I_39_Cart_Sort;Release cart;AS-IConveyorSort[30];Boolean;false;root/stations/030-Conveyor/Sorting/$Outputs/...
F_39_Release_FB;Release cart feedback;AS-IConveyorSort[30];Boolean;false;root/stations/030-Conveyor/Sorting/$Feedback/...
C_39_Request;Request cart;AS-IConveyorSort[30];Boolean;false;root/stations/030-Conveyor/Sorting/$Control/...
SO_39_Cart_Stat;Cart in station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Sorting/$Simulated/...
SO_39_Cart_Next;Cart near next station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Sorting/$Simulated/...
SO_39_Optic;Optic sensor on station;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Sorting/$Simulated/...
SO_39_Count;Cart count identifier;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Sorting/$Simulated/...
SO_39_Pist_Bck;Piston in back position;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Sorting/$Simulated/...
SI_39_Cart_Test;Release cart - Testing;AS-IConveyorTest[30];Boolean;false;root/stations/030-Conveyor/Sorting/$Simulated/...
Ant1_TagReport;Shows Tag Infos;AS-IConveyorRFID;String;;root/stations/030-Conveyor/RFID/$Antena1/...
Ant1_R_TagID;Reads the TAG ID;AS-IConveyorRFID;String;;root/stations/030-Conveyor/RFID/$Antena1/...
Ant1_R_UserData;Reads User Data;AS-IConveyorRFID;String;;root/stations/030-Conveyor/RFID/$Antena1/...
Ant1_W_TagID;Writes to the TAG ID;AS-IConveyorRFID;String;;root/stations/030-Conveyor/RFID/$Antena1/...
Ant1_W_UserData;Writes User Data;AS-IConveyorRFID;String;;root/stations/030-Conveyor/RFID/$Antena1/...
Ant2_TagReport;Shows Tag Infos;AS-IConveyorRFID;String;;root/stations/030-Conveyor/RFID/$Antena2/...
Ant2_R_TagID;Reads the TAG ID;AS-IConveyorRFID;String;;root/stations/030-Conveyor/RFID/$Antena2/...
Ant2_R_UserData;Reads User Data;AS-IConveyorRFID;String;;root/stations/030-Conveyor/RFID/$Antena2/...
Ant2_W_TagID;Writes to the TAG ID;AS-IConveyorRFID;String;;root/stations/030-Conveyor/RFID/$Antena2/...
Ant2_W_UserData;Writes User Data;AS-IConveyorRFID;String;;root/stations/030-Conveyor/RFID/$Antena2/...
Ant3_TagReport;Shows Tag Infos;AS-IConveyorRFID;String;;root/stations/030-Conveyor/RFID/$Antena3/...
