I20.0;O_20_On
I20.1;O_20_Off
I20.6;O_20_Controler_On
I22.0;F_22_Led_On
I22.1;F_22_Led_Off
I22.7;F_22_Conveyor
I34.0;O_34_Cart_Stat
I34.1;O_34_Cart_Next
I34.2;O_34_Optic
I34.3;O_34_Count
I34.4;O_34_Pist_Bck
I34.5;F_34_Release_FB
I35.0;O_35_Cart_Stat
I35.1;O_35_Cart_Next
I35.2;O_35_Optic
I35.3;O_35_Count
I35.4;O_35_Pist_Bck
I35.5;F_35_Release_FB
I36.0;O_36_Cart_Stat
I36.1;O_36_Cart_Next
I36.2;O_36_Optic
I36.3;O_36_Count
I36.4;O_36_Pist_Bck
I36.5;F_36_Release_FB
I37.0;O_37_Cart_Stat
I37.1;O_37_Cart_Next
I37.2;O_37_Optic
I37.3;O_37_Count
I37.4;O_37_Pist_Bck
I37.5;F_37_Release_FB
I38.0;O_38_Cart_Stat
I38.1;O_38_Cart_Next
I38.2;O_38_Optic
I38.3;O_38_Count
I38.4;O_38_Pist_Bck
I38.5;F_38_Release_FB
I39.0;O_39_Cart_Stat
I39.1;O_39_Cart_Next
I39.2;O_39_Optic
I39.3;O_39_Count
I39.4;O_39_Pist_Bck
I39.5;F_39_Release_FB
I50.0;O_50_Part_Reserve
I50.1;O_50_Claw_Cart
I50.2;O_50_Claw_Del
I50.3;O_50_Claw_Reserve
I50.4;O_50_Claw_Low
I50.5;O_50_Claw_High
I50.6;O_50_Part_in_Claw
I51.0;O_51_Start
I51.1;O_51_Stop
I51.2;O_51_Key_Pos
I51.3;O_51_Reset
I51.4;O_51_Panel_I4
I51.5;O_51_Panel_I5
I51.6;O_51_Panel_I6
I51.7;O_51_Panel_I7
I52.0;F_52_Claw_2_Del
I52.1;F_52_Claw_2_Cart
I52.2;F_52_Claw_Down
I52.3;F_52_Close_Claw
I53.0;F_53_Led_Start
I53.1;F_53_Led_Reset
I53.2;F_53_Led_Extra1
I53.3;F_53_Led_Extra2
I53.4;F_53_Panel_O4
I53.5;F_53_Panel_O5
I53.6;F_53_Panel_O6
I53.7;F_53_Panel_O7
I60.0;O_60_SPart
I60.1;O_60_SInd
I60.2;O_60_SPhoto
I60.3;O_60_Part_Pass
I60.4;O_60_SL1_Bck
I60.5;O_60_SL1_Fwd
I60.6;O_60_SL2_Bck
I60.7;O_60_SL2_Fwd
I61.0;O_61_Start
I61.1;O_61_Stop
I61.2;O_61_Key_Pos
I61.3;O_61_Reset
I61.4;O_61_Panel_I4
I61.5;O_61_Panel_I5
I61.6;O_61_Panel_I6
I61.7;O_61_Panel_I7
I62.0;F_62_Conveyor
I62.1;F_62_P1
I62.2;F_62_P2
I62.3;F_62_Identify
I63.0;F_63_Led_Start
I63.1;F_63_Led_Reset
I63.2;F_63_Led_Extra1
I63.3;F_63_Led_Extra2
I63.4;F_63_Panel_O4
I63.5;F_63_Panel_O5
I63.6;F_63_Panel_O6
I63.7;F_63_Panel_O7
I65.0;O_65_ID_1
I65.1;O_65_ID_2
I70.0;O_70_SInductive
I70.1;O_70_SPart
I70.2;O_70_SStation
I70.3;O_70_SPart_Height
I70.4;O_70_Elev_High
I70.5;O_70_Elev_Low
I70.6;O_70_Pist_Back
I71.0;O_71_Start
