Variable;Namespace;Identifier
I_80_Pist_Adv;ns=6;i=890
I_80_Suction_On;ns=6;i=903
I_80_Suction_Off;ns=6;i=916
I_80_Arm_2_Del;ns=6;i=929
I_80_Arm_2_Mag;ns=6;i=942
I_81_Led_Start;ns=6;i=955
I_81_Led_Reset;ns=6;i=968
I_81_Led_Extra1;ns=6;i=981
I_81_Led_Extra2;ns=6;i=994
I_81_Panel_O4;ns=6;i=1007
I_81_Panel_O5;ns=6;i=1020
I_81_Panel_O6;ns=6;i=1033
I_81_Panel_O7;ns=6;i=1046
C_82_Profibus;ns=6;i=1062
C_83_RQ_Parts;ns=6;i=1074
C_85_Initialization;ns=6;i=1084
C_85_Start;ns=6;i=1094
C_85_Single;ns=6;i=1104
C_85_Continuous;ns=6;i=1114
C_85_Counted;ns=6;i=1124
F_82_Pist_Adv;ns=6;i=1140
F_82_Suction_On;ns=6;i=1150
F_82_Suction_Off;ns=6;i=1160
F_82_Arm_2_Del;ns=6;i=1170
F_82_Arm_2_Mag;ns=6;i=1180
F_83_Led_Start;ns=6;i=1190
F_83_Led_Reset;ns=6;i=1200
F_83_Led_Extra1;ns=6;i=1210
F_83_Led_Extra2;ns=6;i=1220
F_83_Panel_O4;ns=6;i=1230
F_83_Panel_O5;ns=6;i=1240
F_83_Panel_O6;ns=6;i=1250
F_83_Panel_O7;ns=6;i=1260
O_80_Mag_Full;ns=6;i=1281
O_80_Pist_Back;ns=6;i=1294
O_80_Pist_Fwd;ns=6;i=1309
O_80_Part_Stuck;ns=6;i=1322
O_80_Arm_Mag;ns=6;i=1335
O_80_Arm_Del;ns=6;i=1348
O_80_Mag_Empty;ns=6;i=1361
O_81_Start;ns=6;i=1374
O_81_Stop;ns=6;i=1387
O_81_Key_Pos;ns=6;i=1400
O_81_Reset;ns=6;i=1413
O_81_Panel_I4;ns=6;i=1426
O_81_Panel_I5;ns=6;i=1439
O_81_Panel_I6;ns=6;i=1452
O_81_Panel_I7;ns=6;i=1465
