Variable;Value;Timestamp
C_24_Request;true;2025-09-25T14:55:17.742Z
F_22_Conveyor;true;2025-09-25T14:55:17.962Z
F_29_Release_FB;true;2025-09-25T14:55:18.009Z
C_24_Request;true;2025-09-25T14:55:18.009Z
A_54_Release_FB;true;2025-09-25T14:55:18.009Z
O_29_Pist_Bck;true;2025-09-25T14:55:18.106Z
A_53_SortCartID;0;2025-09-25T14:55:18.146Z
A_54_Pist_Bck;true;2025-09-25T14:55:18.146Z
C_24_Request;false;2025-09-25T14:55:19.706Z
C_24_Request;false;2025-09-25T14:55:19.856Z
O_29_Cart_Stat;false;2025-09-25T14:55:20.221Z
F_53_Led_Extra1;true;2025-09-25T14:55:20.268Z
A_54_No_Cart;true;2025-09-25T14:55:20.268Z
A_54_Cart_Stat;false;2025-09-25T14:55:20.268Z
A_54_Cart_Next;true;2025-09-25T14:55:26.511Z
A_54_Release_FB;false;2025-09-25T14:55:26.538Z
O_29_Cart_Next;true;2025-09-25T14:55:26.594Z
O_29_Pist_Bck;false;2025-09-25T14:55:26.640Z
F_29_Release_FB;false;2025-09-25T14:55:26.640Z
A_54_Pist_Bck;false;2025-09-25T14:55:26.640Z
O_24_Count;true;2025-09-25T14:55:27.133Z
A_73_TestCartID;3;2025-09-25T14:55:27.173Z
A_74_Count;true;2025-09-25T14:55:27.173Z
O_24_Count;false;2025-09-25T14:55:27.244Z
A_74_Count;false;2025-09-25T14:55:27.274Z
A_73_TestCartID;4;2025-09-25T14:55:27.317Z
O_29_Cart_Next;false;2025-09-25T14:55:27.528Z
A_54_Cart_Next;false;2025-09-25T14:55:27.560Z
F_22_Conveyor;false;2025-09-25T14:55:28.140Z
O_24_Cart_Stat;true;2025-09-25T14:55:28.191Z
C_24_CartDel;true;2025-09-25T14:55:28.191Z
A_74_Cart_Stat;true;2025-09-25T14:55:28.191Z
F_73_Led_Extra1;false;2025-09-25T14:55:28.286Z
A_74_No_Cart;false;2025-09-25T14:55:28.319Z
A_74_CRoute_In;true;2025-09-25T14:55:28.334Z
A_74_CRoute_In80;true;2025-09-25T14:55:28.524Z
F_82_Arm_2_Del;true;2025-09-25T14:55:28.564Z
A_74_CRoute_In;true;2025-09-25T14:55:28.564Z
A_74_CRoute_In;false;2025-09-25T14:55:30.225Z
A_74_CRoute_In80;false;2025-09-25T14:55:30.400Z
A_74_CRoute_In;false;2025-09-25T14:55:30.431Z
O_80_Arm_Mag;false;2025-09-25T14:55:30.466Z
C_24_CartDel;false;2025-09-25T14:55:31.112Z
O_80_Arm_Del;true;2025-09-25T14:55:31.890Z
F_82_Pist_Adv;true;2025-09-25T14:55:31.929Z
F_82_Arm_2_Del;false;2025-09-25T14:55:31.929Z
O_70_SStation;true;2025-09-25T14:55:31.988Z
O_80_Pist_Back;false;2025-09-25T14:55:32.315Z
F_82_Pist_Adv;false;2025-09-25T14:55:32.882Z
F_82_Arm_2_Mag;true;2025-09-25T14:55:32.913Z
O_80_Mag_Empty;true;2025-09-25T14:55:32.948Z
O_80_Pist_Back;true;2025-09-25T14:55:33.019Z
O_80_Mag_Empty;false;2025-09-25T14:55:33.049Z
O_70_SStation;false;2025-09-25T14:55:34.208Z
O_80_Arm_Del;false;2025-09-25T14:55:34.351Z
O_80_Arm_Mag;true;2025-09-25T14:55:35.103Z
F_82_Suction_On;true;2025-09-25T14:55:35.144Z
F_82_Arm_2_Mag;false;2025-09-25T14:55:35.144Z
O_80_Part_Stuck;true;2025-09-25T14:55:35.249Z
F_82_Arm_2_Del;true;2025-09-25T14:55:35.276Z
O_80_Arm_Mag;false;2025-09-25T14:55:36.520Z
O_80_Arm_Del;true;2025-09-25T14:55:38.447Z
F_82_Suction_On;false;2025-09-25T14:55:38.506Z
F_82_Suction_Off;true;2025-09-25T14:55:38.506Z
