Variable;Namespace;Identifier
I_80_Pist_Adv;ns=6;i=1023
I_80_Suction_On;ns=6;i=1036
I_80_Suction_Off;ns=6;i=1049
I_80_Arm_2_Del;ns=6;i=1062
I_80_Arm_2_Mag;ns=6;i=1075
I_81_Led_Start;ns=6;i=1088
I_81_Led_Reset;ns=6;i=1101
I_81_Led_Extra1;ns=6;i=1114
I_81_Led_Extra2;ns=6;i=1127
I_81_Panel_O4;ns=6;i=1140
I_81_Panel_O5;ns=6;i=1153
I_81_Panel_O6;ns=6;i=1166
I_81_Panel_O7;ns=6;i=1179
C_85_Initialization;ns=6;i=1195
C_85_Part_Del;ns=6;i=1205
C_85_Part_Mag;ns=6;i=1215
C_86_Mag_Parts;ns=6;i=1227
C_87_RQ_MParts;ns=6;i=1239
C_82_Profibus;ns=6;i=1249
C_83_RQ_Parts;ns=6;i=1261
C_85_Start;ns=6;i=1271
C_85_Single;ns=6;i=1281
C_85_Continuous;ns=6;i=1291
C_85_Counted;ns=6;i=1301
F_82_Pist_Adv;ns=6;i=1317
F_82_Suction_On;ns=6;i=1327
F_82_Suction_Off;ns=6;i=1337
F_82_Arm_2_Del;ns=6;i=1347
F_82_Arm_2_Mag;ns=6;i=1357
F_83_Led_Start;ns=6;i=1367
F_83_Led_Reset;ns=6;i=1377
F_83_Led_Extra1;ns=6;i=1387
F_83_Led_Extra2;ns=6;i=1397
F_83_Panel_O4;ns=6;i=1407
F_83_Panel_O5;ns=6;i=1417
F_83_Panel_O6;ns=6;i=1427
F_83_Panel_O7;ns=6;i=1437
O_80_Mag_Full;ns=6;i=1458
O_80_Pist_Back;ns=6;i=1471
O_80_Pist_Fwd;ns=6;i=1486
O_80_Part_Stuck;ns=6;i=1499
O_80_Arm_Mag;ns=6;i=1512
O_80_Arm_Del;ns=6;i=1525
O_80_Mag_Empty;ns=6;i=1538
O_81_Start;ns=6;i=1551
O_81_Stop;ns=6;i=1564
O_81_Key_Pos;ns=6;i=1577
O_81_Reset;ns=6;i=1590
O_81_Panel_I4;ns=6;i=1603
O_81_Panel_I5;ns=6;i=1616
O_81_Panel_I6;ns=6;i=1629
O_81_Panel_I7;ns=6;i=1642
