Variable;Namespace;Identifier
I_90_Claw_2_Cart;ns=6;i=1017
I_90_Claw_2_Del;ns=6;i=1030
I_90_Claw_Down;ns=6;i=1043
I_90_Close_Claw;ns=6;i=1056
I_91_Led_Start;ns=6;i=1069
I_91_Led_Reset;ns=6;i=1082
I_91_Led_Extra1;ns=6;i=1095
I_91_Led_Extra2;ns=6;i=1108
I_91_Panel_O4;ns=6;i=1121
I_91_Panel_O5;ns=6;i=1134
I_91_Panel_O6;ns=6;i=1147
I_91_Panel_O7;ns=6;i=1160
A_94_Request;ns=6;i=1176
A_94_No_Cart;ns=6;i=1186
A_94_Cart_Full;ns=6;i=1196
A_94_CRoute_Out;ns=6;i=1206
A_93_ProcCartID;ns=6;i=1216
A_94_Cart_Stat;ns=6;i=1226
A_94_Cart_Next;ns=6;i=1236
A_94_Optic;ns=6;i=1246
A_94_Count;ns=6;i=1256
A_94_Pist_Bck;ns=6;i=1266
A_94_Release_FB;ns=6;i=1276
A_94_CRoute_In;ns=6;i=1286
C_95_Initialization;ns=6;i=1302
C_95_PD_Proc;ns=6;i=1312
C_95_PD_Cart;ns=6;i=1322
C_92_Profibus;ns=6;i=1332
C_95_Start;ns=6;i=1342
C_95_Cart2Del;ns=6;i=1352
C_95_Del2Cart;ns=6;i=1362
F_92_Claw_2_Cart;ns=6;i=1378
F_92_Claw_2_Del;ns=6;i=1388
F_92_Claw_Down;ns=6;i=1398
F_92_Close_Claw;ns=6;i=1408
F_93_Led_Start;ns=6;i=1418
F_93_Led_Reset;ns=6;i=1428
F_93_Led_Extra1;ns=6;i=1438
F_93_Led_Extra2;ns=6;i=1448
F_93_Panel_O4;ns=6;i=1458
F_93_Panel_O5;ns=6;i=1468
F_93_Panel_O6;ns=6;i=1478
F_93_Panel_O7;ns=6;i=1488
O_90_Part_Reserve;ns=6;i=1509
O_90_Claw_Del;ns=6;i=1522
O_90_Claw_Cart;ns=6;i=1537
O_90_Claw_Reserve;ns=6;i=1550
O_90_Claw_Low;ns=6;i=1563
O_90_Claw_High;ns=6;i=1576
O_90_Part_in_Claw;ns=6;i=1589
O_91_Start;ns=6;i=1602
O_91_Stop;ns=6;i=1615
O_91_Key_Pos;ns=6;i=1628
O_91_Reset;ns=6;i=1641
O_91_Panel_I4;ns=6;i=1654
O_91_Panel_I5;ns=6;i=1667
O_91_Panel_I6;ns=6;i=1680
O_91_Panel_I7;ns=6;i=1693
