Variable;Namespace;Identifier
I_20_Led_On;ns=6;i=1262
I_20_Led_Off;ns=6;i=1275
I_20_Conveyor;ns=6;i=1288
I_24_Cart_Test;ns=6;i=1301
I_25_Cart_Proc;ns=6;i=1314
I_26_Cart_Visi;ns=6;i=1327
I_27_Cart_Robo;ns=6;i=1340
I_28_Cart_Stor;ns=6;i=1353
I_29_Cart_Sort;ns=6;i=1366
C_24_CartDel;ns=6;i=1382
C_24_CRoute_Out;ns=6;i=1392
C_24_Request;ns=6;i=1402
C_24_CRoute_In;ns=6;i=1412
C_25_CartDel;ns=6;i=1422
C_25_CRoute_Out;ns=6;i=1432
C_25_Request;ns=6;i=1442
C_25_CRoute_In;ns=6;i=1452
C_26_CartDel;ns=6;i=1462
C_26_CRoute_Out;ns=6;i=1472
C_26_Request;ns=6;i=1482
C_26_CRoute_In;ns=6;i=1492
C_27_CartDel;ns=6;i=1502
C_27_CRoute_Out;ns=6;i=1512
C_27_Request;ns=6;i=1522
C_27_CRoute_In;ns=6;i=1532
C_28_CartDel;ns=6;i=1542
C_28_CRoute_Out;ns=6;i=1552
C_28_Request;ns=6;i=1562
C_28_CRoute_In;ns=6;i=1572
C_29_CartDel;ns=6;i=1582
C_29_CRoute_Out;ns=6;i=1592
C_29_Request;ns=6;i=1602
C_29_CRoute_In;ns=6;i=1612
F_22_Led_On;ns=6;i=1628
F_22_Led_Off;ns=6;i=1638
F_22_Conveyor;ns=6;i=1648
F_24_Release_FB;ns=6;i=1658
F_25_Release_FB;ns=6;i=1668
F_26_Release_FB;ns=6;i=1678
F_27_Release_FB;ns=6;i=1688
F_28_Release_FB;ns=6;i=1698
F_29_Release_FB;ns=6;i=1708
O_20_On;ns=6;i=1727
O_20_Off;ns=6;i=1740
O_20_Controler_On;ns=6;i=1755
O_24_Cart_Stat;ns=6;i=1768
O_24_Cart_Next;ns=6;i=1781
O_24_Optic;ns=6;i=1794
O_24_Count;ns=6;i=1807
O_24_Pist_Bck;ns=6;i=1820
O_25_Cart_Stat;ns=6;i=1833
O_25_Cart_Next;ns=6;i=1846
O_25_Optic;ns=6;i=1859
O_25_Count;ns=6;i=1872
O_25_Pist_Bck;ns=6;i=1885
O_26_Cart_Stat;ns=6;i=1898
O_26_Cart_Next;ns=6;i=1911
O_26_Optic;ns=6;i=1924
O_26_Count;ns=6;i=1937
O_26_Pist_Bck;ns=6;i=1950
O_27_Cart_Stat;ns=6;i=1963
O_27_Cart_Next;ns=6;i=1976
O_27_Optic;ns=6;i=1989
O_27_Count;ns=6;i=2002
O_27_Pist_Bck;ns=6;i=2015
O_28_Cart_Stat;ns=6;i=2028
O_28_Cart_Next;ns=6;i=2041
O_28_Optic;ns=6;i=2054
O_28_Count;ns=6;i=2067
O_28_Pist_Bck;ns=6;i=2080
O_29_Cart_Stat;ns=6;i=2093
O_29_Cart_Next;ns=6;i=2106
O_29_Optic;ns=6;i=2119
O_29_Count;ns=6;i=2132
O_29_Pist_Bck;ns=6;i=2145
