Variable;Namespace;Identifier
I_30_Led_Start;ns=6;i=1164
I_30_Led_Reset;ns=6;i=1177
I_30_Led_Extra1;ns=6;i=1190
I_30_Led_Extra2;ns=6;i=1203
I_30_Spring_Cyl;ns=6;i=1216
I_30_Cover_Cyl;ns=6;i=1229
A_34_Request;ns=6;i=1245
A_34_No_Cart;ns=6;i=1255
A_34_Cart_Full;ns=6;i=1265
A_34_CRoute_Out;ns=6;i=1275
A_32_RoboCartID;ns=6;i=1285
A_34_Cart_Stat;ns=6;i=1295
A_34_Cart_Next;ns=6;i=1305
A_34_Optic;ns=6;i=1315
A_34_Count;ns=6;i=1325
A_34_Pist_Bck;ns=6;i=1335
A_34_Release_FB;ns=6;i=1345
A_34_CRoute_In;ns=6;i=1355
C_30_Robot1;ns=6;i=1384
C_30_Robot2;ns=6;i=1397
C_35_Part_Del;ns=6;i=1371
F_33_Led_Start;ns=6;i=1413
F_33_Led_Reset;ns=6;i=1423
F_33_Led_Extra1;ns=6;i=1433
F_33_Led_Extra2;ns=6;i=1443
F_33_Spring_Cyl;ns=6;i=1453
F_33_Cover_Cyl;ns=6;i=1463
O_31_Start;ns=6;i=1599
O_31_Stop;ns=6;i=1612
O_31_Reset;ns=6;i=1625
O_31_Part_in_Claw;ns=6;i=1638
O_31_Orientation;ns=6;i=1651
O_32_Sp_Cyl_Bck;ns=6;i=1664
O_32_Sp_Cyl_Fwd;ns=6;i=1677
O_32_Co_Cyl_Bck;ns=6;i=1690
O_32_Co_Cyl_Fwd;ns=6;i=1703
O_32_Sp_PickUp;ns=6;i=1716
O_32_Co_PickUp;ns=6;i=1729
O_32_CoMag_Empty;ns=6;i=1742
R_Ant1_R_TagID;ns=6;i=1475
R_Ant1_R_UserData;ns=6;i=1482
R_Ant1_W_TagID;ns=6;i=1489
R_Ant1_W_UserData;ns=6;i=1496
R_Ant2_R_TagID;ns=6;i=1503
R_Ant2_R_UserData;ns=6;i=1510
R_Ant2_W_TagID;ns=6;i=1517
R_Ant2_W_UserData;ns=6;i=1524
R_Ant3_R_TagID;ns=6;i=1531
R_Ant3_R_UserData;ns=6;i=1538
R_Ant3_W_TagID;ns=6;i=1545
R_Ant3_W_UserData;ns=6;i=1552
R_Ant4_R_TagID;ns=6;i=1559
R_Ant4_R_UserData;ns=6;i=1566
R_Ant4_W_TagID;ns=6;i=1573
R_Ant4_W_UserData;ns=6;i=1580
