Variable;Namespace;Identifier
I_41_Led_Start;ns=6;i=2444
I_41_Led_Reset;ns=6;i=2457
I_41_Led_Extra1;ns=6;i=2470
I_41_Led_Extra2;ns=6;i=2483
I_41_Panel_O4;ns=6;i=2496
I_41_Panel_O5;ns=6;i=2509
I_41_Panel_O6;ns=6;i=2522
I_41_Panel_O7;ns=6;i=2535
A_44_Request;ns=6;i=2551
A_44_No_Cart;ns=6;i=2561
A_44_Cart_Full;ns=6;i=2571
A_44_CRoute_In;ns=6;i=2581
A_43_StorCartID;ns=6;i=2591
A_44_Cart_Stat;ns=6;i=2601
A_44_Cart_Next;ns=6;i=2611
A_44_Optic;ns=6;i=2621
A_44_Count;ns=6;i=2631
A_44_Pist_Bck;ns=6;i=2641
A_44_Release_FB;ns=6;i=2651
A_44_CRoute_Out;ns=6;i=2661
C_45_Initialization;ns=6;i=2677
C_42_Profibus;ns=6;i=2687
C_45_Start;ns=6;i=2697
C_45_StorePart;ns=6;i=2707
C_45_RetrievePart;ns=6;i=2717
F_43_Led_Start;ns=6;i=2733
F_43_Led_Reset;ns=6;i=2743
F_43_Led_Extra1;ns=6;i=2753
F_43_Led_Extra2;ns=6;i=2763
F_43_Panel_O4;ns=6;i=2773
F_43_Panel_O5;ns=6;i=2783
F_43_Panel_O6;ns=6;i=2793
F_43_Panel_O7;ns=6;i=2803
O_41_Start;ns=6;i=2822
O_41_Stop;ns=6;i=2835
O_41_Key_Pos;ns=6;i=2848
O_41_Reset;ns=6;i=2861
O_41_Panel_I4;ns=6;i=2874
O_41_Panel_I5;ns=6;i=2887
O_41_Panel_I6;ns=6;i=2900
O_41_Panel_I7;ns=6;i=2913
