I20.0;O_20_On
I20.1;O_20_Off
I20.6;O_20_Controler_On
I22.0;F_22_Led_On
I22.1;F_22_Led_Off
I22.7;F_22_Conveyor
I24.0;O_24_Cart_Stat
I24.1;O_24_Cart_Next
I24.2;O_24_Optic
I24.3;O_24_Count
I24.4;O_24_Pist_Bck
I24.5;F_24_Release_FB
I25.6;C_24_CRoute_In
I25.0;O_25_Cart_Stat
I25.1;O_25_Cart_Next
I25.2;O_25_Optic
I25.3;O_25_Count
I25.4;O_25_Pist_Bck
I25.5;F_25_Release_FB
I25.6;C_25_CRoute_In
I26.0;O_26_Cart_Stat
I26.1;O_26_Cart_Next
I26.2;O_26_Optic
I26.3;O_26_Count
I26.4;O_26_Pist_Bck
I26.5;F_26_Release_FB
I26.6;C_26_CRoute_In
I27.0;O_27_Cart_Stat
I27.1;O_27_Cart_Next
I27.2;O_27_Optic
I27.3;O_27_Count
I27.4;O_27_Pist_Bck
I27.5;F_27_Release_FB
I27.6;C_27_CRoute_In
I28.0;O_28_Cart_Stat
I28.1;O_28_Cart_Next
I28.2;O_28_Optic
I28.3;O_28_Count
I28.4;O_28_Pist_Bck
I28.5;F_28_Release_FB
I28.6;C_28_CRoute_In
I29.0;O_29_Cart_Stat
I29.1;O_29_Cart_Next
I29.2;O_29_Optic
I29.3;O_29_Count
I29.4;O_29_Pist_Bck
I29.5;F_29_Release_FB
I29.6;C_29_CRoute_In
I31.0;O_31_Start
I31.1;O_31_Stop
I31.2;O_31_Reset
I31.6;O_31_Part_in_Claw
I31.7;O_31_Orientation
I32.0;O_32_Sp_Cyl_Bck
I32.1;O_32_Sp_Cyl_Fwd
I32.2;O_32_Co_Cyl_Bck
I32.3;O_32_Co_Cyl_Fwd
I32.4;O_32_Sp_PickUp
I32.5;O_32_Co_PickUp
I32.6;O_32_CoMag_Empty
I34.0;A_34_Request
I34.1;A_34_No_Cart
I34.2;A_34_Cart_Full
I34.3;A_34_CRoute_Out
I41.0;O_41_Start
I41.1;O_41_Stop
I41.2;O_41_Key_Pos
I41.3;O_41_Reset
I41.4;O_41_Panel_I4
I41.5;O_41_Panel_I4
I41.6;O_41_Panel_I6
I41.7;O_41_Panel_I7
I43.0;F_43_Led_Start
I43.1;F_43_Led_Reset
I43.2;F_43_Led_Extra1
I43.3;F_43_Led_Extra2
I43.4;F_43_Panel_O4
I43.5;F_43_Panel_O5
I43.6;F_43_Panel_O6
I43.7;F_43_Panel_O7
I44.0;A_44_Request
I44.1;A_44_No_Cart
I44.2;A_44_Cart_Full
I44.3;A_44_CRoute_Out
I45.0;C_45_Initialization
I50.0;O_50_Part_Reserve
I50.1;O_50_Claw_Cart
I50.2;O_50_Claw_Del
I50.3;O_50_Claw_Reserve
I50.4;O_50_Claw_Low
I50.5;O_50_Claw_High
I50.6;O_50_Part_in_Claw
I51.0;O_51_Start
I51.1;O_51_Stop
I51.2;O_51_Key_Pos
I51.3;O_51_Reset
I51.4;O_51_Panel_I4
I51.5;O_51_Panel_I5
I51.6;O_51_Panel_I6
I51.7;O_51_Panel_I7
I52.0;F_52_Claw_2_Del
I52.1;F_52_Claw_2_Cart
I52.2;F_52_Claw_Down
I52.3;F_52_Close_Claw
I53.0;F_53_Led_Start
