variableName;function;nameSpace;dataType;initialValue;address
51_On;Liga;Handling[Q50];Boolean;False;root/stations/Handling/$q/...
51_Off;Desliga;Handling[Q50];Boolean;False;root/stations/Handling/$q/...
51_Key_Pos;Chave;Handling[Q50];Boolean;False;root/stations/Handling/$q/...
51_Reset;Reset;Handling[Q50];Boolean;False;root/stations/Handling/$q/...
51_Panel_I4;Painel I4 (Conexão banana);Handling[Q50];Boolean;False;root/stations/Handling/$q/...
51_Panel_I5;Painel I5 (Conexão banana);Handling[Q50];Boolean;False;root/stations/Handling/$q/...
51_Panel_I6;Painel I6 (Conexão banana);Handling[Q50];Boolean;False;root/stations/Handling/$q/...
51_Panel_I7;Painel 17 (Conexão banana);Handling[Q50];Boolean;False;root/stations/Handling/$q/...
50_Part_Cradle;Sensor de Peça no Berço;Handling[Q50];Boolean;False;root/stations/Handling/$q/...
50_Claw_Pos_Cradle;Sensor de Garra na Posição Berço;Handling[Q50];Boolean;False;root/stations/Handling/$q/...
50_Claw_Pos_Delivery;Sensor de Garra na Posição Entrega Peça;Handling[Q50];Boolean;False;root/stations/Handling/$q/...
50_Passing_HalfWay;Sensor de Passagem do Meio do Trajeto;Handling[Q50];Boolean;False;root/stations/Handling/$q/...
50_Claw_Down;Garra abaixada;Handling[Q50];Boolean;False;root/stations/Handling/$q/...
50_Claw_Up;Garra levantada;Handling[Q50];Boolean;False;root/stations/Handling/$q/...
50_Part_in_Claw;Peça na garra;Handling[Q50];Boolean;False;root/stations/Handling/$q/...
51_Led_Start;LED Start;Handling[I50];Boolean;False;root/stations/Handling/$I/...
51_Led_Reset;LED Reset;Handling[I50];Boolean;False;root/stations/Handling/$I/...
51_Led_Extra1;LED Extra 1;Handling[I50];Boolean;False;root/stations/Handling/$I/...
51_Led_Extra2;LED Extra 2;Handling[I50];Boolean;False;root/stations/Handling/$I/...
51_Panel_O4;Painel OUT 4 (Conexão banana);Handling[I50];Boolean;False;root/stations/Handling/$I/...
51_Panel_O5;Painel OUT 5 (Conexão banana);Handling[I50];Boolean;False;root/stations/Handling/$I/...
51_Panel_O6;Painel OUT 6 (Conexão banana);Handling[I50];Boolean;False;root/stations/Handling/$I/...
51_Panel_O7;Painel OUT 7 (Conexão banana);Handling[I50];Boolean;False;root/stations/Handling/$I/...
50_Claw_Move_Cradle;Movimenta Garra Sentido Berço;Handling[I50];Boolean;False;root/stations/Handling/$I/...
50_Claw_Move_Delivery;Movimenta Garra Sentido Entrega de Peça;Handling[I50];Boolean;False;root/stations/Handling/$I/...
50_Claw_Lower;Abaixar Garra;Handling[I50];Boolean;False;root/stations/Handling/$I/...
50_Claw_Opening;Abrir Garra;Handling[I50];Boolean;False;root/stations/Handling/$I/...
61_On;Liga;Sorting[Q60];Boolean;False;root/stations/Sorting/$Q/...
61_Off;Desliga;Sorting[Q60];Boolean;False;root/stations/Sorting/$Q/...
61_Key_Pos;Chave;Sorting[Q60];Boolean;False;root/stations/Sorting/$Q/...
61_Reset;Reset;Sorting[Q60];Boolean;False;root/stations/Sorting/$Q/...
61_Panel_I4;Painel I4 (Conexão banana);Sorting[Q60];Boolean;False;root/stations/Sorting/$Q/...
61_Panel_I5;Painel I5 (Conexão banana);Sorting[Q60];Boolean;False;root/stations/Sorting/$Q/...
61_Panel_I6;Painel I6 (Conexão banana);Sorting[Q60];Boolean;False;root/stations/Sorting/$Q/...
61_Panel_I7;Painel 17 (Conexão banana);Sorting[Q60];Boolean;False;root/stations/Sorting/$Q/...
60_Part_Sensor;Sensor Peça;Sorting[Q60];Boolean;False;root/stations/Sorting/$Q/...
60_Sensor_Indutive;Sensor Indutivo;Sorting[Q60];Boolean;False;root/stations/Sorting/$Q/...
60_Sensor_Photoelectric;Sensor Fotoelétrico;Sorting[Q60];Boolean;False;root/stations/Sorting/$Q/...
60_Sensor_Passing;Sensor de Passagem de Peça;Sorting[Q60];Boolean;False;root/stations/Sorting/$Q/...
60_Sensor_P1_Retreated;Sensor da Alavanca Posição 1 Recuado;Sorting[Q60];Boolean;False;root/stations/Sorting/$Q/...
60_Sensor_P1_Forward;Sensor da Alavanca Posição 1 Avançado;Sorting[Q60];Boolean;False;root/stations/Sorting/$Q/...
60_Sensor_P2_Retreated;Sensor da Alavanca Posição 2 Recuado;Sorting[Q60];Boolean;False;root/stations/Sorting/$Q/...
60_Sensor_P2_Forward;Sensor da Alavanca Posição 2 Avançado;Sorting[Q60];Boolean;False;root/stations/Sorting/$Q/...
61_Led_Start;LED Start;Sorting[I60];Boolean;False;root/stations/Sorting/$I/...
61_Led_Reset;LED Reset;Sorting[I60];Boolean;False;root/stations/Sorting/$I/...
61_Led_Extra1;LED Extra 1;Sorting[I60];Boolean;False;root/stations/Sorting/$I/...
61_Led_Extra2;LED Extra 2;Sorting[I60];Boolean;False;root/stations/Sorting/$I/...
61_Panel_O4;Painel OUT 4 (Conexão banana);Sorting[I60];Boolean;False;root/stations/Sorting/$I/...
61_Panel_O5;Painel OUT 5 (Conexão banana);Sorting[I60];Boolean;False;root/stations/Sorting/$I/...
61_Panel_O6;Painel OUT 6 (Conexão banana);Sorting[I60];Boolean;False;root/stations/Sorting/$I/...
61_Panel_O7;Painel OUT 7 (Conexão banana);Sorting[I60];Boolean;False;root/stations/Sorting/$I/...
60_Conveyor_On;Liga Esteira;Sorting[I60];Boolean;False;root/stations/Sorting/$I/...
60_Actuator_Pos1;Atuador Posição 1;Sorting[I60];Boolean;False;root/stations/Sorting/$I/...
60_Actuator_Pos2;Atuador Posição 2;Sorting[I60];Boolean;False;root/stations/Sorting/$I/...
60_Part_Block;Bloqueio da Peça para Identificação;Sorting[I60];Boolean;False;root/stations/Sorting/$I/...
71_On;Liga;Testing[Q70];Boolean;False;root/stations/Testing/$Q/...
71_Off;Desliga;Testing[Q70];Boolean;False;root/stations/Testing/$Q/...
71_Key_Pos;Chave;Testing[Q70];Boolean;False;root/stations/Testing/$Q/...
71_Reset;Reset;Testing[Q70];Boolean;False;root/stations/Testing/$Q/...
71_Panel_I4;Painel I4 (Conexão banana);Testing[Q70];Boolean;False;root/stations/Testing/$Q/...
71_Panel_I5;Painel I5 (Conexão banana);Testing[Q70];Boolean;False;root/stations/Testing/$Q/...
71_Panel_I6;Painel I6 (Conexão banana);Testing[Q70];Boolean;False;root/stations/Testing/$Q/...
71_Panel_I7;Painel 17 (Conexão banana);Testing[Q70];Boolean;False;root/stations/Testing/$Q/...
70_Sensor_Indutive;Sensor indutivo (metálico);Testing[Q70];Boolean;False;root/stations/Testing/$Q/...
