Variable;Namespace;Identifier
I_60_Conveyor;ns=6;i=1019
I_60_P1;ns=6;i=1032
I_60_P2;ns=6;i=1045
I_60_Identify;ns=6;i=1058
I_61_Led_Start;ns=6;i=1071
I_61_Led_Reset;ns=6;i=1084
I_61_Led_Extra1;ns=6;i=1097
I_61_Led_Extra2;ns=6;i=1110
I_61_Panel_O4;ns=6;i=1123
I_61_Panel_O5;ns=6;i=1136
I_61_Panel_O6;ns=6;i=1149
I_61_Panel_O7;ns=6;i=1162
C_65_Initialization;ns=6;i=1178
C_65_ID_1;ns=6;i=1188
C_65_ID_2;ns=6;i=1198
C_65_Part_Sorted;ns=6;i=1208
C_62_Profibus;ns=6;i=1218
C_65_RBS_Output;ns=6;i=1228
C_65_RSB_Output;ns=6;i=1238
C_65_BRS_Output;ns=6;i=1248
C_65_BSR_Output;ns=6;i=1258
C_65_SRB_Output;ns=6;i=1268
C_65_SBR_Output;ns=6;i=1278
F_62_Conveyor;ns=6;i=1294
F_62_P1;ns=6;i=1304
F_62_P2;ns=6;i=1314
F_62_Identify;ns=6;i=1324
F_63_Led_Start;ns=6;i=1334
F_63_Led_Reset;ns=6;i=1344
F_63_Led_Extra1;ns=6;i=1354
F_63_Led_Extra2;ns=6;i=1364
F_63_Panel_O4;ns=6;i=1374
F_63_Panel_O5;ns=6;i=1384
F_63_Panel_O6;ns=6;i=1394
F_63_Panel_O7;ns=6;i=1404
O_60_SPart;ns=6;i=1423
O_60_SInd;ns=6;i=1436
O_60_SPhoto;ns=6;i=1451
O_60_Part_Pass;ns=6;i=1464
O_60_SL1_Bck;ns=6;i=1477
O_60_SL1_Fwd;ns=6;i=1490
O_60_SL2_Bck;ns=6;i=1503
O_60_SL2_Fwd;ns=6;i=1516
O_61_Start;ns=6;i=1529
O_61_Stop;ns=6;i=1542
O_61_Key_Pos;ns=6;i=1555
O_61_Reset;ns=6;i=1568
O_61_Panel_I4;ns=6;i=1581
O_61_Panel_I5;ns=6;i=1594
O_61_Panel_I6;ns=6;i=1607
O_61_Panel_I7;ns=6;i=1620
